"Plot Title: crab"
"#","Date Time, GMT+02:00","Temp, °C (LGR S/N: 20156933, SEN S/N: 20156933)","Intensity, Lux (LGR S/N: 20156933, SEN S/N: 20156933)","Coupler Attached (LGR S/N: 20156933)","Host Connected (LGR S/N: 20156933)","Stopped (LGR S/N: 20156933)","End Of File (LGR S/N: 20156933)"
1,04/27/18 08:00:00 AM,15.473,312.2,,,,
2,04/27/18 08:10:00 AM,15.951,3100.0,,,,
3,04/27/18 08:20:00 AM,17.665,2238.9,,,,
4,04/27/18 08:30:00 AM,19.187,2238.9,,,,
5,04/27/18 08:40:00 AM,19.758,64.6,,,,
6,04/27/18 08:50:00 AM,19.948,150.7,,,,
7,04/27/18 09:00:00 AM,23.196,107.6,,,,
8,04/27/18 09:10:00 AM,22.908,0.0,,,,
9,04/27/18 09:20:00 AM,22.429,0.0,,,,
10,04/27/18 09:30:00 AM,22.046,0.0,,,,
11,04/27/18 09:40:00 AM,21.855,0.0,,,,
12,04/27/18 09:50:00 AM,21.951,0.0,,,,
13,04/27/18 10:00:00 AM,22.142,0.0,,,,
14,04/27/18 10:10:00 AM,22.333,0.0,,,,
15,04/27/18 10:20:00 AM,22.621,0.0,,,,
16,04/27/18 10:30:00 AM,22.812,0.0,,,,
17,04/27/18 10:40:00 AM,23.196,0.0,,,,
18,04/27/18 10:50:00 AM,23.966,10.8,,,,
19,04/27/18 11:00:00 AM,24.255,0.0,,,,
20,04/27/18 11:10:00 AM,24.158,193.8,,,,
21,04/27/18 11:20:00 AM,23.484,688.9,,,,
22,04/27/18 11:30:00 AM,23.196,495.1,,,,
23,04/27/18 11:40:00 AM,23.004,925.7,,,,
24,04/27/18 11:50:00 AM,23.004,592.0,,,,
25,04/27/18 12:00:00 PM,23.004,538.2,,,,
26,04/27/18 12:10:00 PM,23.100,495.1,,,,
27,04/27/18 12:20:00 PM,23.196,505.9,,,,
28,04/27/18 12:30:00 PM,25.708,3788.9,,,,
29,04/27/18 12:40:00 PM,24.931,15155.7,,,,
30,04/27/18 12:50:00 PM,28.655,159823.3,,,,
31,04/27/18 01:00:00 PM,31.064,159823.3,,,,
32,04/27/18 01:10:00 PM,33.743,159823.3,,,,
33,04/27/18 01:20:00 PM,35.435,176356.7,,,,
34,04/27/18 01:30:00 PM,35.649,176356.7,,,,
35,04/27/18 01:40:00 PM,35.649,170845.6,,,,
36,04/27/18 01:50:00 PM,34.374,165334.4,,,,
37,04/27/18 02:00:00 PM,28.953,20666.8,,,,
38,04/27/18 02:10:00 PM,26.292,22044.6,,,,
39,04/27/18 02:20:00 PM,25.708,18600.1,,,,
40,04/27/18 02:30:00 PM,25.610,17911.2,,,,
41,04/27/18 02:40:00 PM,25.805,18600.1,,,,
42,04/27/18 02:50:00 PM,26.000,20666.8,,,,
43,04/27/18 03:00:00 PM,26.195,24800.2,,,,
44,04/27/18 03:10:00 PM,26.879,23422.4,,,,
45,04/27/18 03:20:00 PM,26.683,18600.1,,,,
46,04/27/18 03:30:00 PM,26.292,20666.8,,,,
47,04/27/18 03:40:00 PM,26.781,26178.0,,,,
48,04/27/18 03:50:00 PM,28.060,30311.3,,,,
49,04/27/18 04:00:00 PM,28.754,110223.0,,,,
50,04/27/18 04:10:00 PM,30.154,82667.2,,,,
51,04/27/18 04:20:00 PM,30.963,99200.7,,,,
52,04/27/18 04:30:00 PM,30.457,49600.3,,,,
53,04/27/18 04:40:00 PM,30.356,93689.5,,,,
54,04/27/18 04:50:00 PM,30.862,93689.5,,,,
55,04/27/18 05:00:00 PM,30.457,82667.2,,,,
56,04/27/18 05:10:00 PM,30.154,66133.8,,,,
57,04/27/18 05:20:00 PM,29.352,57867.0,,,,
58,04/27/18 05:30:00 PM,29.352,49600.3,,,,
59,04/27/18 05:40:00 PM,28.853,46844.8,,,,
60,04/27/18 05:50:00 PM,27.862,34444.7,,,,
61,04/27/18 06:00:00 PM,27.665,31689.1,,,,
62,04/27/18 06:10:00 PM,26.195,22044.6,,,,
63,04/27/18 06:20:00 PM,25.708,18600.1,,,,
64,04/27/18 06:30:00 PM,25.319,16533.4,,,,
65,04/27/18 06:40:00 PM,24.931,9644.5,,,,
66,04/27/18 06:50:00 PM,23.484,5166.7,,,,
67,04/27/18 07:00:00 PM,22.717,4305.6,,,,
68,04/27/18 07:10:00 PM,20.805,2755.6,,,,
69,04/27/18 07:20:00 PM,19.758,1550.0,,,,
70,04/27/18 07:30:00 PM,18.996,505.9,,,,
71,04/27/18 07:40:00 PM,18.426,118.4,,,,
72,04/27/18 07:50:00 PM,19.377,10.8,,,,
73,04/27/18 08:00:00 PM,18.426,0.0,,,,
74,04/27/18 08:10:00 PM,17.855,0.0,,,,
75,04/27/18 08:20:00 PM,17.189,0.0,,,,
76,04/27/18 08:30:00 PM,16.999,0.0,,,,
77,04/27/18 08:40:00 PM,16.999,0.0,,,,
78,04/27/18 08:50:00 PM,16.523,0.0,,,,
79,04/27/18 09:00:00 PM,16.523,0.0,,,,
80,04/27/18 09:10:00 PM,16.237,0.0,,,,
81,04/27/18 09:20:00 PM,16.237,0.0,,,,
82,04/27/18 09:30:00 PM,16.141,0.0,,,,
83,04/27/18 09:40:00 PM,15.760,0.0,,,,
84,04/27/18 09:50:00 PM,16.046,0.0,,,,
85,04/27/18 10:00:00 PM,16.046,0.0,,,,
86,04/27/18 10:10:00 PM,15.855,0.0,,,,
87,04/27/18 10:20:00 PM,15.664,0.0,,,,
88,04/27/18 10:30:00 PM,15.569,0.0,,,,
89,04/27/18 10:40:00 PM,15.664,0.0,,,,
90,04/27/18 10:50:00 PM,15.473,0.0,,,,
91,04/27/18 11:00:00 PM,15.378,0.0,,,,
92,04/27/18 11:10:00 PM,15.187,0.0,,,,
93,04/27/18 11:20:00 PM,15.091,0.0,,,,
94,04/27/18 11:30:00 PM,14.996,0.0,,,,
95,04/27/18 11:40:00 PM,15.473,0.0,,,,
96,04/27/18 11:50:00 PM,15.664,0.0,,,,
97,04/28/18 12:00:00 AM,15.569,0.0,,,,
98,04/28/18 12:10:00 AM,15.282,0.0,,,,
99,04/28/18 12:20:00 AM,15.951,0.0,,,,
100,04/28/18 12:30:00 AM,16.427,0.0,,,,
101,04/28/18 12:40:00 AM,15.760,0.0,,,,
102,04/28/18 12:50:00 AM,15.282,0.0,,,,
103,04/28/18 01:00:00 AM,15.091,0.0,,,,
104,04/28/18 01:10:00 AM,15.569,0.0,,,,
105,04/28/18 01:20:00 AM,15.760,0.0,,,,
106,04/28/18 01:30:00 AM,15.378,0.0,,,,
107,04/28/18 01:40:00 AM,15.378,0.0,,,,
108,04/28/18 01:50:00 AM,15.664,0.0,,,,
109,04/28/18 02:00:00 AM,15.282,0.0,,,,
110,04/28/18 02:10:00 AM,14.804,0.0,,,,
111,04/28/18 02:20:00 AM,14.900,0.0,,,,
112,04/28/18 02:30:00 AM,14.709,0.0,,,,
113,04/28/18 02:40:00 AM,14.517,0.0,,,,
114,04/28/18 02:50:00 AM,14.038,0.0,,,,
115,04/28/18 03:00:00 AM,14.230,0.0,,,,
116,04/28/18 03:10:00 AM,14.421,0.0,,,,
117,04/28/18 03:20:00 AM,14.134,0.0,,,,
118,04/28/18 03:30:00 AM,14.421,0.0,,,,
119,04/28/18 03:40:00 AM,14.038,0.0,,,,
120,04/28/18 03:50:00 AM,14.230,0.0,,,,
121,04/28/18 04:00:00 AM,14.230,0.0,,,,
122,04/28/18 04:10:00 AM,14.038,0.0,,,,
123,04/28/18 04:20:00 AM,13.846,0.0,,,,
124,04/28/18 04:30:00 AM,13.942,0.0,,,,
125,04/28/18 04:40:00 AM,13.846,0.0,,,,
126,04/28/18 04:50:00 AM,14.038,0.0,,,,
127,04/28/18 05:00:00 AM,13.750,0.0,,,,
