"Plot Title: Goose"
"#","Date Time, GMT+02:00","Temp, °C (LGR S/N: 10636493, SEN S/N: 10636493)","Intensity, Lux (LGR S/N: 10636493, SEN S/N: 10636493)","Host Connected (LGR S/N: 10636493)","Coupler Attached (LGR S/N: 10636493)","Stopped (LGR S/N: 10636493)","End Of File (LGR S/N: 10636493)"
1,05/01/18 08:00:00 AM,19.092,0.0,,,,
2,05/01/18 08:10:00 AM,18.996,10.8,,,,
3,05/01/18 08:20:00 AM,18.901,10.8,,,,
4,05/01/18 08:30:00 AM,18.901,10.8,,,,
5,05/01/18 08:40:00 AM,18.901,10.8,,,,
6,05/01/18 08:50:00 AM,18.901,10.8,,,,
7,05/01/18 09:00:00 AM,19.853,3444.5,,,,
8,05/01/18 09:10:00 AM,22.142,10677.8,,,,
9,05/01/18 09:20:00 AM,21.855,0.0,,,,
10,05/01/18 09:30:00 AM,21.760,0.0,,,,
11,05/01/18 09:40:00 AM,21.760,0.0,,,,
12,05/01/18 09:50:00 AM,21.760,0.0,,,,
13,05/01/18 10:00:00 AM,22.046,0.0,,,,
14,05/01/18 10:10:00 AM,22.333,0.0,,,,
15,05/01/18 10:20:00 AM,22.717,0.0,,,,
16,05/01/18 10:30:00 AM,23.100,0.0,,,,
17,05/01/18 10:40:00 AM,23.484,0.0,,,,
18,05/01/18 10:50:00 AM,23.773,0.0,,,,
19,05/01/18 11:00:00 AM,23.869,0.0,,,,
20,05/01/18 11:10:00 AM,24.158,0.0,,,,
21,05/01/18 11:20:00 AM,24.448,0.0,,,,
22,05/01/18 11:30:00 AM,24.738,0.0,,,,
23,05/01/18 11:40:00 AM,25.125,0.0,,,,
24,05/01/18 11:50:00 AM,25.416,0.0,,,,
25,05/01/18 12:00:00 PM,25.610,0.0,,,,
26,05/01/18 12:10:00 PM,25.902,0.0,,,,
27,05/01/18 12:20:00 PM,26.195,0.0,,,,
28,05/01/18 12:30:00 PM,26.488,0.0,,,,
29,05/01/18 12:40:00 PM,26.781,0.0,,,,
30,05/01/18 12:50:00 PM,26.977,0.0,,,,
31,05/01/18 01:00:00 PM,27.173,0.0,,,,
32,05/01/18 01:10:00 PM,27.567,0.0,,,,
33,05/01/18 01:20:00 PM,27.961,32.3,,,,
34,05/01/18 01:30:00 PM,29.053,1550.0,,,,
35,05/01/18 01:40:00 PM,28.754,731.9,,,,
36,05/01/18 01:50:00 PM,27.764,2238.9,,,,
37,05/01/18 02:00:00 PM,29.552,1194.8,,,,
38,05/01/18 02:10:00 PM,30.659,1227.1,,,,
39,05/01/18 02:20:00 PM,31.370,1184.0,,,,
40,05/01/18 02:30:00 PM,31.880,1108.7,,,,
41,05/01/18 02:40:00 PM,32.188,1130.2,,,,
42,05/01/18 02:50:00 PM,32.394,1119.5,,,,
43,05/01/18 03:00:00 PM,32.497,1065.6,,,,
44,05/01/18 03:10:00 PM,32.394,1076.4,,,,
45,05/01/18 03:20:00 PM,32.394,1722.2,,,,
46,05/01/18 03:30:00 PM,32.807,1808.3,,,,
47,05/01/18 03:40:00 PM,32.911,1722.2,,,,
48,05/01/18 03:50:00 PM,33.222,1980.6,,,,
49,05/01/18 04:00:00 PM,33.326,871.9,,,,
50,05/01/18 04:10:00 PM,33.326,699.7,,,,
51,05/01/18 04:20:00 PM,33.535,861.1,,,,
52,05/01/18 04:30:00 PM,31.472,1550.0,,,,
53,05/01/18 04:40:00 PM,29.652,1463.9,,,,
54,05/01/18 04:50:00 PM,28.456,1463.9,,,,
55,05/01/18 05:00:00 PM,27.665,1377.8,,,,
56,05/01/18 05:10:00 PM,26.977,1194.8,,,,
57,05/01/18 05:20:00 PM,26.195,1184.0,,,,
58,05/01/18 05:30:00 PM,25.416,64.6,,,,
59,05/01/18 05:40:00 PM,24.835,53.8,,,,
60,05/01/18 05:50:00 PM,24.255,43.1,,,,
61,05/01/18 06:00:00 PM,24.062,32.3,,,,
62,05/01/18 06:10:00 PM,23.869,1033.3,,,,
63,05/01/18 06:20:00 PM,23.292,990.3,,,,
64,05/01/18 06:30:00 PM,22.812,764.2,,,,
65,05/01/18 06:40:00 PM,22.429,645.8,,,,
66,05/01/18 06:50:00 PM,26.390,172.2,,,,
67,05/01/18 07:00:00 PM,28.953,129.2,,,,
68,05/01/18 07:10:00 PM,23.773,1808.3,,,,
69,05/01/18 07:20:00 PM,21.664,904.2,,,,
70,05/01/18 07:30:00 PM,20.710,419.8,,,,
71,05/01/18 07:40:00 PM,20.234,172.2,,,,
72,05/01/18 07:50:00 PM,19.567,43.1,,,,
73,05/01/18 08:00:00 PM,19.187,0.0,,,,
74,05/01/18 08:10:00 PM,18.616,0.0,,,,
75,05/01/18 08:20:00 PM,18.045,0.0,,,,
76,05/01/18 08:30:00 PM,17.760,0.0,,,,
77,05/01/18 08:40:00 PM,17.284,0.0,,,,
78,05/01/18 08:50:00 PM,17.094,0.0,,,,
79,05/01/18 09:00:00 PM,17.284,0.0,,,,
80,05/01/18 09:10:00 PM,16.903,0.0,,,,
81,05/01/18 09:20:00 PM,16.618,0.0,,,,
82,05/01/18 09:30:00 PM,16.427,0.0,,,,
83,05/01/18 09:40:00 PM,16.046,0.0,,,,
84,05/01/18 09:50:00 PM,15.951,0.0,,,,
85,05/01/18 10:00:00 PM,15.664,0.0,,,,
86,05/01/18 10:10:00 PM,15.378,0.0,,,,
87,05/01/18 10:20:00 PM,15.378,0.0,,,,
88,05/01/18 10:30:00 PM,15.091,0.0,,,,
89,05/01/18 10:40:00 PM,14.804,0.0,,,,
90,05/01/18 10:50:00 PM,14.613,0.0,,,,
91,05/01/18 11:00:00 PM,14.517,0.0,,,,
92,05/01/18 11:10:00 PM,14.517,0.0,,,,
93,05/01/18 11:20:00 PM,14.325,0.0,,,,
94,05/01/18 11:30:00 PM,14.230,0.0,,,,
95,05/01/18 11:40:00 PM,14.038,0.0,,,,
96,05/01/18 11:50:00 PM,14.134,0.0,,,,
97,05/02/18 12:00:00 AM,13.846,0.0,,,,
