7392-039738
OS REV: 1.11 Sensor Cal: 1507742937
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1524749160,+3.45,+14.812, +9.837,+0.994
1524749760,+3.45,+14.820, +9.806,+0.994
1524750360,+3.45,+14.855, +9.767,+0.992
1524750960,+3.45,+14.812, +9.760,+0.992
1524751560,+3.46,+14.777, +9.771,+0.993
1524752160,+3.45,+14.768, +9.755,+0.994
1524752760,+3.46,+14.751, +9.725,+0.993
1524753360,+3.46,+14.734, +9.779,+0.995
1524753960,+3.46,+14.743, +9.771,+0.994
1524754560,+3.46,+14.725, +9.687,+0.992
1524755160,+3.46,+14.691, +9.681,+0.994
1524755760,+3.46,+14.647, +9.645,+0.993
1524756360,+3.46,+14.587, +9.618,+0.993
1524756960,+3.46,+14.500, +9.597,+0.993
1524757560,+3.46,+14.362, +9.595,+0.993
1524758160,+3.46,+14.371, +9.551,+0.993
1524758760,+3.46,+14.319, +9.538,+0.993
1524759360,+3.46,+14.266, +9.554,+0.994
1524759960,+3.46,+14.206, +9.539,+0.994
1524760560,+3.46,+14.119, +9.539,+0.994
1524761160,+3.46,+14.032, +9.531,+0.994
1524761760,+3.46,+13.954, +9.521,+0.994
1524762360,+3.46,+13.840, +9.499,+0.993
1524762960,+3.46,+13.745, +9.494,+0.993
1524763560,+3.46,+13.649, +9.509,+0.994
1524764160,+3.46,+13.561, +9.503,+0.994
1524764760,+3.46,+13.465, +9.486,+0.994
1524765360,+3.46,+13.342, +9.500,+0.994
1524765960,+3.46,+13.255, +9.514,+0.994
1524766560,+3.46,+13.158, +9.511,+0.994
1524767160,+3.46,+13.062, +9.517,+0.994
1524767760,+3.46,+12.982, +9.504,+0.994
1524768360,+3.46,+12.859, +9.546,+0.994
1524768960,+3.45,+12.815, +9.526,+0.994
1524769560,+3.46,+12.700, +9.535,+0.994
1524770160,+3.46,+12.603, +9.559,+0.994
1524770760,+3.45,+12.541, +9.564,+0.994
1524771360,+3.46,+12.453, +9.596,+0.995
1524771960,+3.46,+12.400, +9.586,+0.995
1524772560,+3.45,+12.311, +9.598,+0.994
1524773160,+3.46,+12.267, +9.604,+0.995
1524773760,+3.45,+12.214, +9.608,+0.995
1524774360,+3.45,+12.089, +9.642,+0.994
1524774960,+3.46,+12.098, +9.612,+0.994
1524775560,+3.45,+12.027, +9.653,+0.994
1524776160,+3.45,+12.009, +9.643,+0.994
1524776760,+3.45,+11.947, +9.660,+0.994
1524777360,+3.45,+11.893, +9.672,+0.994
1524777960,+3.45,+11.849, +9.665,+0.994
1524778560,+3.45,+11.768, +9.697,+0.994
1524779160,+3.45,+11.741, +9.697,+0.994
1524779760,+3.45,+11.679, +9.712,+0.995
1524780360,+3.45,+11.643, +9.744,+0.996
1524780960,+3.45,+11.554, +9.761,+0.995
1524781560,+3.45,+11.554, +9.724,+0.993
1524782160,+3.45,+11.509, +9.763,+0.995
1524782760,+3.45,+11.464, +9.762,+0.994
1524783360,+3.45,+11.428, +9.763,+0.994
1524783960,+3.45,+11.374, +9.797,+0.995
1524784560,+3.45,+11.374, +9.789,+0.995
1524785160,+3.45,+11.302, +9.795,+0.995
1524785760,+3.45,+11.257, +9.815,+0.995
1524786360,+3.45,+11.248, +9.817,+0.995
1524786960,+3.45,+11.176, +9.850,+0.995
1524787560,+3.45,+11.194, +9.809,+0.994
1524788160,+3.45,+11.122, +9.834,+0.994
1524788760,+3.45,+11.140, +9.821,+0.994
1524789360,+3.45,+11.077, +9.845,+0.994
1524789960,+3.45,+11.050, +9.862,+0.995
1524790560,+3.45,+11.023, +9.867,+0.995
1524791160,+3.45,+11.005, +9.870,+0.995
1524791760,+3.45,+10.969, +9.859,+0.994
1524792360,+3.45,+10.942, +9.893,+0.995
1524792960,+3.45,+10.906, +9.901,+0.995
1524793560,+3.45,+10.915, +9.879,+0.995
1524794160,+3.45,+10.879, +9.866,+0.994
1524794760,+3.45,+10.870, +9.890,+0.995
1524795360,+3.45,+10.842, +9.885,+0.994
1524795960,+3.45,+10.788, +9.917,+0.995
1524796560,+3.45,+10.770, +9.908,+0.994
1524797160,+3.45,+10.770, +9.900,+0.994
1524797760,+3.45,+10.734, +9.934,+0.995
1524798360,+3.45,+10.688, +9.934,+0.994
1524798960,+3.45,+10.707, +9.934,+0.995
1524799560,+3.45,+10.679, +9.939,+0.995
1524800160,+3.45,+10.643, +9.924,+0.994
1524800760,+3.45,+10.634, +9.966,+0.996
1524801360,+3.45,+10.589, +9.952,+0.994
1524801960,+3.45,+10.580, +9.984,+0.996
1524802560,+3.45,+10.571, +9.980,+0.995
1524803160,+3.45,+10.580, +9.987,+0.996
1524803760,+3.45,+10.525,+10.024,+0.996
1524804360,+3.45,+10.498,+10.026,+0.995
1524804960,+3.45,+10.498,+10.039,+0.994
1524805560,+3.45,+10.489,+10.077,+0.996
1524806160,+3.45,+10.498,+10.093,+0.995
1524806760,+3.45,+10.489,+10.123,+0.996
1524807360,+3.45,+10.507,+10.144,+0.995
1524807960,+3.45,+10.507,+10.163,+0.994
1524808560,+3.45,+10.498,+10.208,+0.995
1524809160,+3.45,+10.498,+10.221,+0.995
1524809760,+3.45,+10.552,+10.268,+0.996
1524810360,+3.45,+10.580,+10.291,+0.995
1524810960,+3.45,+10.616,+10.297,+0.995
1524811560,+3.45,+10.707,+10.312,+0.995
1524812160,+3.45,+10.743,+10.338,+0.995
1524812760,+3.45,+10.806,+10.326,+0.994
1524813360,+3.45,+10.879,+10.341,+0.994
1524813960,+3.44,+10.969,+10.373,+0.995
1524814560,+3.44,+11.050,+10.376,+0.995
1524815160,+3.44,+11.095,+10.387,+0.995
1524815760,+3.44,+11.230,+10.382,+0.995
1524816360,+3.45,+11.347,+10.360,+0.995
1524816960,+3.45,+11.464,+10.373,+0.995
1524817560,+3.45,+11.580,+10.369,+0.995
1524818160,+3.45,+11.706,+10.349,+0.995
1524818760,+3.45,+11.831,+10.349,+0.996
1524819360,+3.45,+11.964,+10.291,+0.993
1524819960,+3.45,+12.107,+10.308,+0.995
1524820560,+3.45,+12.231,+10.299,+0.995
1524821160,+3.45,+12.355,+10.302,+0.996
1524821760,+3.45,+12.506,+10.255,+0.995
1524822360,+3.45,+12.656,+10.239,+0.995
1524822960,+3.45,+12.806,+10.224,+0.995
1524823560,+3.45,+12.947,+10.210,+0.995
1524824160,+3.45,+13.097,+10.180,+0.994
1524824760,+3.45,+13.246,+10.158,+0.995
1524825360,+3.45,+13.351,+10.137,+0.994
1524825960,+3.45,+13.500,+10.103,+0.994
1524826560,+3.45,+13.622,+10.091,+0.995
1524827160,+3.45,+13.753,+10.078,+0.995
1524827760,+3.45,+13.884,+10.072,+0.995
1524828360,+3.45,+13.971,+10.057,+0.994
1524828960,+3.45,+14.145,+10.042,+0.995
1524829560,+3.45,+14.249,+10.026,+0.994
1524830160,+3.45,+14.371, +9.987,+0.994
1524830760,+3.45,+14.492, +9.898,+0.993
1524831360,+3.45,+14.587, +9.952,+0.994
1524831960,+3.45,+14.639, +9.877,+0.993
1524832560,+3.45,+14.717, +9.883,+0.993
1524833160,+3.45,+14.717, +9.793,+0.993
1524833760,+3.45,+14.777, +9.795,+0.995
1524834360,+3.45,+14.768, +9.747,+0.994
1524834960,+3.45,+14.794, +9.805,+0.995
1524835560,+3.45,+14.872, +9.814,+0.993
